config,ttft_p50_ms,total_p50_ms,answer_chars_p50,ms_per_char
lean: tk3 + 400ch + np256 + no rerank,426.3,5497.8,903,6.09
no reranker,497.9,5843.1,816,7.16
"dense only, no rerank",539.1,4464.0,585,7.63
1b + tk3 + 400ch + np256,654.8,3119.9,1058,2.95
top_k=3 + chunk<=400 + np=256,707.5,4833.7,792,6.1
top_k=3 + chunk<=400,735.6,4840.4,777,6.23
top_k=3,743.4,5031.7,761,6.61
num_predict=256,897.0,6355.9,963,6.6
num_predict=512,897.9,5452.8,853,6.39
1b model,901.1,3833.2,1498,2.56
"baseline (top_k=5, rerank, hybrid)",937.7,5547.3,758,7.32
chunk<=800 chars,939.9,6758.6,943,7.16
chunk<=400 chars,941.5,5816.1,797,7.29
no hybrid (dense only),1167.5,5717.1,767,7.45
top_k=8,1457.1,5042.5,564,8.94
